dt greska izlaz_pid
0.051227 -18.360000000000014 6.634234888059285
0.045845 -19.360000000000014 7.016030511254576
0.049237 -20.360000000000014 7.361024126557431
0.055089 -22.360000000000014 8.23329517395145
0.048591 -25.360000000000014 9.549960984907575
0.051456 -25.360000000000014 8.945616826534275
0.045979 -27.360000000000014 10.093175466589676
0.053647 -28.360000000000014 10.209814622958833
0.051623 -31.360000000000014 11.670735181317824
0.047397 -32.360000000000014 11.665921966080349
0.048230 -33.360000000000014 12.02836732020863
0.050024 -34.360000000000014 12.388118503848846
0.052369 -36.360000000000014 13.28916472307877
0.051569 -38.360000000000014 14.014870353591187
0.052612 -39.360000000000014 14.187817893474255
0.046176 -40.360000000000014 14.582946100896296
0.054317 -42.360000000000014 15.45759769594035
0.044657 -42.360000000000014 15.108308765316014
0.051744 -42.360000000000014 15.130227517032628
0.051812 -43.360000000000014 15.69569890041668
0.042906 -42.360000000000014 14.937800785632138
0.053197 -43.360000000000014 15.731913726826285
0.049144 -43.360000000000014 15.565243512725834
0.062957 -44.360000000000014 16.102009709609813
0.038260 -45.360000000000014 16.57189415942846
0.048989 -46.360000000000014 16.887363757461202
0.049321 -47.360000000000014 17.25935044937888
0.053548 -48.360000000000014 17.619239673473555
0.046270 -49.360000000000014 18.021453749948687
0.050499 -50.360000000000014 18.378784828744465
0.055910 -49.360000000000014 17.67950147697272
0.048992 -51.360000000000014 18.991750220048953
0.046171 -51.360000000000014 18.607235135364533
0.052428 -53.360000000000014 19.716683000455287
0.046557 -54.360000000000014 19.92531100690833
0.050875 -54.360000000000014 19.738174954223638
0.049635 -54.360000000000014 19.765156763267523
0.050331 -54.360000000000014 19.792516757774354
0.052121 -54.360000000000014 19.820849562454228
0.048956 -54.360000000000014 19.847462258338933
0.049633 -54.360000000000014 19.87444277133942
0.050890 -54.360000000000014 19.902106817626958
0.049822 -54.360000000000014 19.92918984766007
0.052941 -56.360000000000014 21.036805880837363
0.045748 -56.360000000000014 20.684810743999485
0.054137 -57.360000000000014 21.250579627045052
0.047158 -57.360000000000014 21.092913552761082
0.054157 -57.360000000000014 21.12397801866532
0.046532 -57.360000000000014 21.15066886224747
0.049249 -57.360000000000014 21.178918187427524
0.049660 -56.360000000000014 20.655536000492862
0.048702 -58.360000000000014 21.99599150995175
0.051051 -58.360000000000014 21.615121926593783
0.051507 -59.360000000000014 22.189843347884754
