dt greska izlaz_pid
0.072945 58.639999999999986 -17.822932276149455
0.059584 55.639999999999986 -16.806084759422006
0.053935 51.639999999999986 -15.433936942859356
0.071085 47.639999999999986 -14.067802052684492
0.084605 41.639999999999986 -12.003031565757459
0.034910 36.639999999999986 -10.26582257642335
0.060017 31.639999999999986 -8.534811989684764
0.045998 26.639999999999986 -6.797065882583324
0.075385 18.639999999999986 -4.011117619605724
0.053868 9.639999999999986 -0.8663105001408499
0.066297 4.639999999999986 0.8806133054774362
0.053582 2.6399999999999864 1.5791987482112009
0.060639 0.6399999999999864 2.278810657696064
0.073104 -5.360000000000014 4.382729052547748
0.050917 -3.3600000000000136 3.684439860729511
0.054608 -5.360000000000014 4.387366842464741
0.069484 -3.3600000000000136 3.689701512722309
0.059317 0.6399999999999864 2.2893218832057074
0.061442 7.639999999999986 -0.1653722778279227
0.060211 -31.360000000000014 13.503509948734576
0.059842 -35.360000000000014 14.924669950107868
0.062451 -33.360000000000014 14.24550364513808
0.057828 -39.360000000000014 16.368264819912252
0.062171 -41.360000000000014 17.093978540996847
0.062513 -44.360000000000014 18.171709252170857
0.052653 -47.360000000000014 19.246645861057576
0.058298 -55.360000000000014 22.078919695286093
0.065194 -57.360000000000014 22.81631518497878
0.057036 -64.36000000000001 25
0.058377 -68.36000000000001 25
