epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1501.6,0.79628,0.48184,0.88688,0.965,0.99137,0.9871,0.80505,0.77332,0.39787,0.86076,0.000247754,0.000247754,0.000247754
86,1518.91,0.80569,0.47941,0.8827,0.95928,0.98375,0.98377,0.80328,0.77587,0.3985,0.86021,0.000244084,0.000244084,0.000244084
87,1537.2,0.78975,0.48163,0.88367,0.96534,0.98877,0.98669,0.80226,0.79232,0.40367,0.8632,0.000240414,0.000240414,0.000240414
88,1554.24,0.79361,0.46744,0.87624,0.97045,0.98395,0.98701,0.81574,0.76345,0.39657,0.85643,0.000236745,0.000236745,0.000236745
89,1571.14,0.77246,0.46255,0.87621,0.96762,0.9816,0.98407,0.8068,0.77351,0.40325,0.8601,0.000233075,0.000233075,0.000233075
90,1589.4,0.76891,0.46167,0.88046,0.96693,0.98721,0.98519,0.8068,0.77034,0.3949,0.8576,0.000229406,0.000229406,0.000229406
91,1606.85,0.78045,0.47548,0.8779,0.96854,0.99002,0.98896,0.81411,0.7762,0.39229,0.8607,0.000225736,0.000225736,0.000225736
92,1624.74,0.78146,0.46566,0.86899,0.97442,0.99261,0.98662,0.81455,0.75959,0.38938,0.85863,0.000222066,0.000222066,0.000222066
93,1642.43,0.76777,0.45505,0.87358,0.97167,0.99092,0.9862,0.80263,0.78281,0.40064,0.8663,0.000218397,0.000218397,0.000218397
94,1659.82,0.77186,0.45999,0.88153,0.96911,0.98665,0.98863,0.82163,0.75567,0.38318,0.86076,0.000214727,0.000214727,0.000214727
95,1678.28,0.76229,0.45887,0.88103,0.96936,0.99013,0.98612,0.81457,0.74956,0.38746,0.85672,0.000211058,0.000211058,0.000211058
96,1695.42,0.7697,0.44707,0.87524,0.97238,0.99199,0.98648,0.80796,0.76315,0.38391,0.86043,0.000207388,0.000207388,0.000207388
97,1712.67,0.7673,0.45486,0.87309,0.97205,0.98962,0.98489,0.809,0.7641,0.3886,0.85679,0.000203718,0.000203718,0.000203718
98,1730.99,0.75156,0.44903,0.87475,0.97177,0.99331,0.98594,0.81486,0.75855,0.38589,0.86264,0.000200049,0.000200049,0.000200049
99,1748.19,0.74935,0.44665,0.8731,0.97418,0.99156,0.98592,0.81252,0.75079,0.3864,0.85901,0.000196379,0.000196379,0.000196379
100,1765.37,0.75581,0.4506,0.87293,0.97374,0.98988,0.98756,0.81285,0.75543,0.38393,0.8588,0.00019271,0.00019271,0.00019271
101,1783.38,0.7572,0.45074,0.87176,0.96732,0.98844,0.98656,0.82268,0.74867,0.38136,0.85841,0.00018904,0.00018904,0.00018904
102,1800.88,0.74768,0.44546,0.87043,0.96978,0.99103,0.98525,0.80595,0.77027,0.38372,0.85927,0.00018537,0.00018537,0.00018537
103,1818.83,0.74954,0.45069,0.8676,0.96779,0.99165,0.98711,0.81289,0.77201,0.37912,0.85821,0.000181701,0.000181701,0.000181701
104,1836.4,0.73774,0.44239,0.86938,0.96965,0.97728,0.98656,0.81935,0.75489,0.37183,0.85716,0.000178031,0.000178031,0.000178031
105,1853.69,0.73054,0.44089,0.87015,0.96989,0.9862,0.98874,0.81501,0.75133,0.37936,0.85588,0.000174362,0.000174362,0.000174362
106,1872.02,0.74277,0.44412,0.8643,0.96894,0.98588,0.98837,0.81469,0.75535,0.3733,0.85677,0.000170692,0.000170692,0.000170692
107,1889.19,0.7391,0.43771,0.87418,0.97192,0.98926,0.98935,0.82072,0.74914,0.38106,0.85774,0.000167022,0.000167022,0.000167022
108,1906.37,0.73422,0.43387,0.87133,0.97313,0.99187,0.98823,0.81609,0.77311,0.37322,0.86362,0.000163353,0.000163353,0.000163353
109,1924.81,0.7307,0.43028,0.86124,0.97265,0.99252,0.98659,0.80993,0.7751,0.38115,0.86082,0.000159683,0.000159683,0.000159683
110,1942.17,0.74599,0.43617,0.86296,0.96679,0.9905,0.98652,0.81544,0.76189,0.37866,0.85866,0.000156014,0.000156014,0.000156014
111,1959.46,0.72194,0.42788,0.86754,0.97469,0.99198,0.98919,0.81777,0.76319,0.36854,0.85746,0.000152344,0.000152344,0.000152344
112,1977.18,0.72888,0.42817,0.86291,0.97594,0.98637,0.98914,0.82003,0.75919,0.37352,0.86054,0.000148674,0.000148674,0.000148674
113,1994.23,0.72217,0.42391,0.86633,0.9742,0.99209,0.9891,0.80904,0.77475,0.37509,0.86176,0.000145005,0.000145005,0.000145005
114,2011.87,0.71756,0.42521,0.86267,0.9679,0.98796,0.988,0.81249,0.76159,0.37374,0.8615,0.000141335,0.000141335,0.000141335
115,2028.93,0.7155,0.42613,0.86525,0.97205,0.98836,0.98939,0.81709,0.76026,0.36542,0.85976,0.000137666,0.000137666,0.000137666
116,2046.6,0.72253,0.43182,0.86593,0.97145,0.98962,0.9895,0.81839,0.74753,0.35961,0.85626,0.000133996,0.000133996,0.000133996
117,2064.97,0.71047,0.41776,0.86316,0.97302,0.99121,0.98922,0.82131,0.75068,0.36592,0.85502,0.000130326,0.000130326,0.000130326
118,2082.32,0.7256,0.42667,0.86621,0.97351,0.98808,0.98886,0.81505,0.74726,0.35914,0.85786,0.000126657,0.000126657,0.000126657
119,2099.63,0.71497,0.41656,0.86588,0.96982,0.98473,0.98717,0.82011,0.74908,0.35956,0.85812,0.000122987,0.000122987,0.000122987
120,2117.96,0.71203,0.41687,0.86541,0.97718,0.97591,0.98796,0.81957,0.75122,0.35774,0.85992,0.000119318,0.000119318,0.000119318
121,2135.14,0.7022,0.41188,0.86159,0.97609,0.98865,0.9889,0.82042,0.75187,0.36088,0.86005,0.000115648,0.000115648,0.000115648
122,2152.68,0.71371,0.41823,0.86522,0.96321,0.99318,0.98851,0.82511,0.7484,0.36165,0.85834,0.000111978,0.000111978,0.000111978
123,2170.42,0.7058,0.41477,0.86062,0.97358,0.992,0.98874,0.8159,0.75361,0.35987,0.86289,0.000108309,0.000108309,0.000108309
124,2187.65,0.69609,0.41489,0.86421,0.96885,0.99151,0.98641,0.81475,0.75469,0.35516,0.86192,0.000104639,0.000104639,0.000104639
125,2205.31,0.68992,0.39949,0.86108,0.97275,0.99233,0.98791,0.8236,0.75179,0.36051,0.86033,0.00010097,0.00010097,0.00010097
126,2222.67,0.69364,0.40194,0.85689,0.97088,0.9928,0.98832,0.81747,0.74839,0.36022,0.85992,9.73e-05,9.73e-05,9.73e-05
127,2239.85,0.69093,0.40419,0.86019,0.97616,0.9892,0.98864,0.82293,0.74626,0.35786,0.86118,9.36304e-05,9.36304e-05,9.36304e-05
128,2258.23,0.6858,0.39719,0.85388,0.97655,0.9913,0.98864,0.81853,0.75267,0.35797,0.86166,8.99608e-05,8.99608e-05,8.99608e-05
129,2275.86,0.7014,0.40572,0.86261,0.97211,0.98528,0.98764,0.82055,0.7492,0.35713,0.8605,8.62912e-05,8.62912e-05,8.62912e-05
130,2293.1,0.68456,0.40324,0.85832,0.97052,0.99243,0.98843,0.8201,0.75237,0.35808,0.86059,8.26216e-05,8.26216e-05,8.26216e-05
131,2311.3,0.69695,0.40642,0.86498,0.97179,0.98779,0.98844,0.81752,0.75498,0.35719,0.85928,7.8952e-05,7.8952e-05,7.8952e-05
132,2328.36,0.68735,0.40787,0.85794,0.97243,0.98654,0.98696,0.81794,0.75284,0.35976,0.86052,7.52824e-05,7.52824e-05,7.52824e-05
133,2345.78,0.68813,0.40105,0.85982,0.97542,0.98565,0.9876,0.81395,0.75897,0.36023,0.86224,7.16128e-05,7.16128e-05,7.16128e-05
134,2363.77,0.68435,0.39644,0.85663,0.97602,0.98488,0.98872,0.81864,0.75718,0.3529,0.86255,6.79432e-05,6.79432e-05,6.79432e-05
135,2380.85,0.67542,0.39506,0.85676,0.97662,0.98408,0.98888,0.82423,0.75791,0.35105,0.8615,6.42736e-05,6.42736e-05,6.42736e-05
136,2398.71,0.67668,0.38955,0.85472,0.97667,0.98356,0.98788,0.8212,0.75176,0.35523,0.86051,6.0604e-05,6.0604e-05,6.0604e-05
137,2415.98,0.6753,0.38748,0.85577,0.97464,0.98397,0.98534,0.82519,0.74807,0.35448,0.85934,5.69344e-05,5.69344e-05,5.69344e-05
138,2433,0.68238,0.40238,0.85652,0.97789,0.98329,0.98724,0.82398,0.75115,0.35093,0.86187,5.32648e-05,5.32648e-05,5.32648e-05
139,2450.96,0.66662,0.38961,0.85909,0.97882,0.9838,0.98805,0.82261,0.75504,0.35375,0.86064,4.95952e-05,4.95952e-05,4.95952e-05
140,2467.98,0.66083,0.39342,0.85413,0.9771,0.98926,0.98818,0.82522,0.75814,0.3521,0.86188,4.59256e-05,4.59256e-05,4.59256e-05
141,2485.51,0.6887,0.37531,0.86502,0.97696,0.98998,0.98765,0.81741,0.75184,0.35634,0.86023,4.2256e-05,4.2256e-05,4.2256e-05
142,2503.04,0.68487,0.36792,0.86128,0.97243,0.98906,0.98788,0.81348,0.75418,0.36099,0.85981,3.85864e-05,3.85864e-05,3.85864e-05
143,2519.51,0.65347,0.35515,0.85239,0.97193,0.98938,0.9879,0.81698,0.75317,0.36066,0.85892,3.49168e-05,3.49168e-05,3.49168e-05
144,2535.93,0.66307,0.35593,0.85707,0.97043,0.99037,0.9879,0.82,0.75868,0.35927,0.86068,3.12472e-05,3.12472e-05,3.12472e-05
145,2553.38,0.64615,0.34899,0.85384,0.97034,0.98953,0.98788,0.82242,0.7567,0.35666,0.86019,2.75776e-05,2.75776e-05,2.75776e-05
146,2569.76,0.66191,0.35579,0.8561,0.9715,0.98946,0.98797,0.82113,0.75545,0.35755,0.86031,2.3908e-05,2.3908e-05,2.3908e-05
147,2586.41,0.64259,0.34676,0.85345,0.97231,0.98981,0.98771,0.82017,0.75532,0.35842,0.86033,2.02384e-05,2.02384e-05,2.02384e-05
148,2603.45,0.64253,0.35015,0.85138,0.97536,0.9855,0.98744,0.81962,0.75675,0.35815,0.86039,1.65688e-05,1.65688e-05,1.65688e-05
149,2620.47,0.63146,0.34928,0.8539,0.97599,0.98548,0.98764,0.81955,0.75412,0.35623,0.85988,1.28992e-05,1.28992e-05,1.28992e-05
150,2637.03,0.64129,0.35036,0.85386,0.97376,0.98754,0.98769,0.8193,0.7532,0.35665,0.86037,9.2296e-06,9.2296e-06,9.2296e-06
